08/02/2021,9239.5
03/05/2021,3385.44
24/03/2021,8254.81
19/07/2021,8674.63
18/01/2021,2265.41
29/03/2021,4480.88
07/12/2020,2910.97
30/10/2021,3483.42
23/12/2020,4685.3
21/05/2021,6015.93
13/05/2021,5790.79
01/12/2020,7006.33
19/02/2021,293.93
16/01/2021,1833.49
01/02/2021,3833.38
06/09/2021,9187.96
02/05/2021,6987.11
27/08/2021,2006.06
31/12/2021,6524.01
08/01/2021,7994.3
11/06/2021,2262.14
22/04/2021,7537.8
23/12/2020,7875.35
14/12/2020,8096.03
01/12/2020,1098.57
20/07/2021,7968.27
16/05/2021,4427.95
28/04/2021,5169.55
23/10/2021,194.09
03/08/2021,3560.76
14/03/2021,6873.8
09/11/2021,8253.77
31/05/2021,6944.46
31/03/2021,8601.24
16/09/2021,5682.01
10/02/2021,8031.22
11/12/2020,2899.88
22/04/2021,2118.76
30/12/2021,8151.76
07/09/2021,3946.64
30/11/2021,2162.33
22/11/2021,81.88
26/03/2021,3314.9
09/02/2021,380.39
29/05/2021,8609.8
13/12/2021,197.49
05/12/2020,4236.0
10/10/2021,7539.98
13/07/2021,4306.5
09/04/2021,8946.89
10/12/2020,1088.86
12/12/2021,5770.23
27/05/2021,3821.25
12/08/2021,1240.08
08/12/2021,2134.5
23/12/2020,9702.54
18/02/2021,9357.24
27/12/2020,207.04
04/12/2021,490.38
21/12/2020,9613.44
30/08/2021,3855.57
06/01/2021,4132.14
07/12/2021,1321.41
25/06/2021,7772.24
08/04/2021,6757.93
14/12/2021,3703.73
30/09/2021,5935.15
25/02/2021,9758.17
04/10/2021,3256.72
25/01/2021,6741.98
27/11/2021,4855.82
10/08/2021,9081.86
15/12/2020,2966.13
20/05/2021,2825.94
15/01/2021,9847.31
09/07/2021,8830.73
14/04/2021,9443.38
12/03/2021,6106.21
23/07/2021,6659.65
03/12/2021,6216.98
10/06/2021,4297.21
04/09/2021,5284.81
06/05/2021,7875.09
18/05/2021,8781.05
25/10/2021,5538.23
04/01/2021,7683.82
21/04/2021,3733.09
13/03/2021,157.1
11/02/2021,8896.26
13/06/2021,1957.99
16/10/2021,7221.19
25/08/2021,784.37
08/02/2021,460.64
11/08/2021,372.12
28/12/2021,4404.64
10/08/2021,6897.36
01/07/2021,3696.51
18/12/2020,3779.57
25/07/2021,7277.77
16/12/2020,455.45
